"Timestamp","¿Cómo la escribirías? n2.e1.f1","¿Cómo la escribirías? n2.e1.f2","¿Cómo la escribirías? n2.e1.f3"
"2015/12/02 10:17:45 AM GMT-3","Uno pertenece a todos los enteros","Los enteros son desiguales que cero",""
"2015/12/04 4:40:14 PM GMT-3","uno pertenece a los enteros.","los enteros es distinto a vacío.","((el conjunto de los números $TERM$) es un subconjunto de los enteros.)"
"2016/02/29 11:39:36 AM GMT-3","Uno pertenece a los enteros.","los enteros distintos de cero.","((El conjunto de los números $TERM$) está incluido en los enteros)"
"2016/02/29 9:43:32 PM GMT-3","1 pertenece al conjunto Z","Z distinto de conjunto vacío","((conjunto $TERM$) incluido en conjunto Z)"
"2016/03/02 5:33:15 AM GMT-3","1 pertenece a zeta
uno está en zeta
uno en zeta","zeta distinto de vacío",""
"2016/03/09 9:45:40 AM GMT-3","1 perteneciente a los enteros","el conjunto de los enteros distinto de vacío","((el conjunto de $TERM$) está contenido en los enteros)"
"2016/04/03 12:39:27 PM GMT-3","uno pertenece al conjunto de los números enteros","el conjunto de los números enteros es distinto del conjunto vacío","((el conjunto que tiene como elementos $TERM$) está incluido en el conjunto de los números enteros)"
"2016/04/03 1:17:46 PM GMT-3"," uno pertenece al conjunto zeta.","El conjunto de números enteros, zeta, no está vacío.","((El subconjunto integrado por $TERM$) está incluido en el conjunto de números enteros)"
"2016/04/03 2:14:00 PM GMT-3","1 pertenece al conjunto de numeros enteros","El conjunto de numeros enteros no es vacio","((El conjunto formado por $TERM$) es subconjunto propio del conjunto de los números enteros)"
"2016/04/03 3:11:14 PM GMT-3","uno pertenece a los enteros","los enteros distintos de conjunto vacio","((conjunto $TERM$) incluido en los enteros)"
"2016/04/03 3:33:45 PM GMT-3","uno pertenece enteros","enteros noigual vacio",""
"2016/04/03 4:45:04 PM GMT-3","1 pertenece al conjunto de los enteros","el conjunto de los enteros es distinto de vacio","((el conjunto que forman $TERM$) esta incluido en el conjunto de los enteros)"
"2016/04/03 5:41:38 PM GMT-3","1 pertenece al conjunto de los numeros enteros","el conjunto de los numeros enteros es distinto de vacio","((el conjunto que posee solamente los elementos $TERM$) pertenece a los enteros)"
"2016/04/03 7:44:11 PM GMT-3","1 pertenece a Z","Z es distinto de vacío","((el conjunto $TERM$) está contenido estrictamente en Z)"
"2016/04/03 10:19:08 PM GMT-3","Uno pertenece a los números enteros","El conjunto de los números enteros es distinto de vacío","((El conjunto de $TERM$) está incluido en el conjunto de los números enteros)"
"2016/04/04 6:45:13 PM GMT-3","uno pertenece a los números enteros ","los números enteros son distintos de vacío ","((el conjunto de $TERM$) esta contenido en los números enteros)"
"2016/04/10 4:54:00 PM GMT-3","1 perteneciente a z","z diferente de 0",""
