"Timestamp","¿Cómo la escribirías? n2.e4.f1","¿Cómo la escribirías? n2.e4.f2","¿Cómo la escribirías? n2.e4.f3"
"2015/12/02 11:49:43 AM GMT-3"," ","P o P equivale a P","P implica (P o R)"
"2016/02/29 12:23:45 PM GMT-3","((La diferencia entre el conjunto $TERM$ y el conjunto $TERM$) es distinta de (la unión del conjunto $TERM$ con el conjunto $TERM$))","pe o pe es equivalente a pe.
Pe o pe equivalente a pe.
Pe o pe equivalente a pe.
Pe o pe es pe.","Pe implica pe o ere.

Pe implica pe o ere.
"
"2016/02/29 9:47:31 PM GMT-3","","(p o p) sí y sólo sí p","p implica (p o r)"
"2016/03/02 5:40:00 AM GMT-3","(($TERM$ menos be) es distinto de ($TERM$ unión be))","pe o pe, si y sólo si pe","pe implica, pe o ere"
"2016/03/09 10:22:39 AM GMT-3","(($TERM$ menos B) es distinto que ($TERM$ unión B))","p o p sí solo sí p","p implica (p o r)"
"2016/04/03 12:46:29 PM GMT-3","(($TERM$ menos b) es distinto de ($TERM$ unión b))","pe o pe, si y solo si, pe","pe implica, pe o ere"
"2016/04/03 3:07:41 PM GMT-3","((La diferencia entre los conjuntos $TERM$ y B) no es igual a (La union entre los conjuntos $TERM$ y B))","(p o p) si y solo si p","p implica (p o r)"
"2016/04/03 4:53:34 PM GMT-3","","(p ó p) si y solo si (p)","p implica (p ó r)"
"2016/04/03 7:54:08 PM GMT-3","((conjunto $TERM$ menos conjunto B) distinto ($TERM$ unión B))","((p o p) equivalente a p)","p implica (p o r)"
"2016/04/07 10:53:56 AM GMT-3","(($TERM$ menos B) distinto de ($TERM$ unión B))","p o p doble implicación p","p implica p o r"
