"Timestamp","¿Cómo la escribirías? n1.e4.f1","¿Cómo la escribirías? n1.e4.f2","¿Cómo la escribirías? n1.e4.f3"
"2015/11/30 12:58:12 PM GMT-3","((la raíz cuadrada de (menos 1)) es igual a i)","(i al cuadrado) es igual a (menos 1)","1 más (2 por i)"
"2015/12/01 5:19:24 PM GMT-3","((raiz cuadrada de (menos 1)) es igual a i) ","(i al cuadrado) es igual a (menos 1)","1 mas 2 i"
"2015/12/02 10:03:51 AM GMT-3","((Raiz cuadrada de (menos uno)) es igual a i)","(i elevado al cuadrado) es igual a (menos uno)","Uno mas (dos por i)"
"2015/12/04 4:35:42 PM GMT-3","((la raíz cuadrada de (menos uno)) es igual a i)","(i al cuadrado) es igual a (menos uno).","uno mas dos por i"
"2016/02/29 9:35:36 AM GMT-3","((raíz de (menos 1)) igual a i)","(i al cuadrado) igual a (menos 1)","uno más 2 i"
"2016/02/29 11:32:45 AM GMT-3","((Raíz cuadrada de (menos uno)) igual a i)","(i al cuadrado) es igual a (menos uno).
","Uno más dos i.

Uno más dos por i.

"
"2016/02/29 12:03:10 PM GMT-3","((raiz cuadrada de (menos 1)) es igual a i)","(i al cuadrado) en igual a (menos 1)","uno mas dos por i"
"2016/02/29 12:53:48 PM GMT-3","((raíz cuadrada de (menos 1)) igual a i)","(i al cuadrado) igual a (menos 1)","1 más 2 i"
"2016/02/29 9:41:05 PM GMT-3","((raíz cuadrada de (menos 1)) igual a i)","(i elevado al cuadrado) igual a (menos 1)","1 más 2 i"
"2016/03/02 5:30:12 AM GMT-3","((raíz de (menos uno)) igual a i)","(i al cuadrado) igual a (menos uno)","uno más dos i"
"2016/03/05 6:10:12 PM GMT-3","((raiz de (menos uno)) todo eso igual a i)","(i elevado a dos) todo eso igual a (menos uno).","uno mas dos i. i de imaginario."
"2016/03/08 10:48:27 AM GMT-3","((raíz cuadrada de (menos 1)) es igual a i)","(i al cuadrado) es igual a (menos 1)","1 mas 2 por i"
"2016/04/03 12:35:36 PM GMT-3","((raíz de (menos uno)) igual a i)","(i al cuadrado) igual a (menos uno)","uno más, dos i"
"2016/04/03 12:53:06 PM GMT-3","((raiz cuadrada de (menos uno)) igual a i)","(i elevado al cuadrado), igual a (menos uno) ","uno mas dos i"
"2016/04/03 1:08:57 PM GMT-3","((raiz cuadrada de (menos uno)) igual a i)","(i al cuadrado) igual a (menos uno).","uno más dos i."
"2016/04/03 2:01:41 PM GMT-3","((raiz cuadrada de (menos 1)) es igual a i)","(i al cuadrado) es igual a (menos 1)","1  más (2 por i)"
"2016/04/03 2:24:32 PM GMT-3","((raiz de (menos 1)) igual a i)","(i elevado al cuadrado) igual a (menos 1)","1 mas dos por i"
"2016/04/03 2:39:30 PM GMT-3","((Raíz de (menos uno)) igual i)","(i al cuadrado) es igual a (menos 1)","Uno más dos i "
"2016/04/03 2:47:10 PM GMT-3","((Raíz cuadrada de (menos 1)) es igual a i)","(i elevado al cuadrado) es igual a (menos 1)","1 más 2 i"
"2016/04/03 3:31:09 PM GMT-3","","","uno mas dos i"
"2016/04/03 4:22:45 PM GMT-3","((raíz cuadrada de (menos 1)) es i)","(i al cuadrado) igual a (menos 1)","uno más 2 por i"
"2016/04/03 4:35:08 PM GMT-3","((raiz cuadrada de (menos uno)) es igual a i)","((i al cuadrado) es) igual a (menos 1)","uno mas dos veces i"
"2016/04/03 5:38:22 PM GMT-3","((raiz cuadrada de (menos uno)) es igual a i)","(i al cuadrado) es igual a (menos 1)","1 mas (2 por i)"
"2016/04/03 7:39:55 PM GMT-3","((raíz cuadrada de (menos 1)) igual a i)","(i cuadrado) igual a (menos 1)","1 más (2 por i)"
"2016/04/03 8:33:30 PM GMT-3","((raíz cuadrada de (menos 1)) es igual a i)","(i al cuadrado) es igual a (menos 1)","1 más (2 i)"
"2016/04/03 10:17:33 PM GMT-3","((raíz de (menos uno)) es igual a i)","(i al cuadrado) es igual a (menos uno)","Uno mas dos por i"
"2016/04/05 3:22:08 PM GMT-3","((raiz cuadrada de (menos 1)) es igual a i)","(i al cuadrado) es igual a (menos 1)","1 más (2 por i)"
"2016/04/10 4:52:11 PM GMT-3","((raiz cuadrada de (menos uno)) igual a i)","(i al cuatro) igual a (menos uno)","uno mas dos por i"
