"Timestamp","¿Cómo la escribirías? n3.e2.f1","¿Cómo la escribirías? n3.e2.f2","¿Cómo la escribirías? n3.e2.f3"
"2016/02/29 12:38:10 PM GMT-3","Unión de ese sub ene con ene que va de uno al infinito positivo.

Unión con ene que va de uno al infinito positivo de ese sub ene.","Intersección con ene que va de uno al infinito positivo para ese sub ene en unión con ese sub ene más uno.

","Productoria con i que va de uno hasta ene de e elevada a (la potencia) i."
"2016/02/29 9:50:32 PM GMT-3","Unión de (n desde 1 hasta infinito) de (S sub n)","Intersección de (n desde 1 hasta infinito) de (S sub n unión (S sub (n mas 1)))","Productoria de (i desde 1 hasta n) de (e elevado a la i)"
"2016/03/02 5:43:28 AM GMT-3","unión de los ese sub ene, para ene de uno a infinito","La intersección de, la unión de ese ene y ese ene más uno, para ene de uno a infinito","Productoria de e a la i, para i de uno hasta ene"
"2016/04/03 12:49:43 PM GMT-3","la unión infinita desde ene igual a uno de ese sub ene","la intersección infinita desde ene igual a uno de, ese sub ene unión ese sub, ene más uno","la productoria desde i igual uno hasta i igual a ene de: e elevado a la i"
"2016/04/03 1:50:27 PM GMT-3","(((La union de los S sub n) desde n igual a 1) hasta infinito)","(((la interseccion de los (S sub n unido S sub n mas 1)) desde n igual a 1) hasta infinito)","(((La productoria de los (e elevado a la i)) desde i igual a 1) hasta n)"
"2016/04/03 3:14:22 PM GMT-3","Unión de ((S sub n) con (n=(1) hasta (infinito)))","Intersección de ( (S sub (n)) union (S sub (n+1)) ) con n igual a (1) hasta (infinito)","Productoria de ((e) elevado a la (i)) con i igual a (1) hasta (n)"
"2016/04/03 3:40:15 PM GMT-3","union abro indice infinito cierro indice abro subindice n igual uno cierro subindice abrounible subindice S abro subindice n cierro subindice cierro unible","interseccion abro indice infinito cierro indice abro subindice n igual uno cierro subindice abro inter subindice S abro subindice n cierro subindice union s abro subindice n mas uno cierro subindice cierro inter","productorio abro indice n cierro indice abro subindice i igual uno cierro subindice   
abro producto e abro exponente i cierro exponente cierro producto "
"2016/04/03 5:00:48 PM GMT-3","","","la productoria con i igual 1 hasta n, del numero natural con exponente i"
"2016/04/03 7:58:36 PM GMT-3","Union infinita de los conjuntos Sn con indice n desde 1","Interseccion infinita de los conjuntos (Sn union S(n mas 1)) con indice n desde 1","Productoria de e elevado a la i con indice i de 1 a n"
"2016/04/03 8:00:13 PM GMT-3","""(Union (S sub n) para (n igual a 1) hasta infinito)""","""(Intersección ((S sub n) union (S sub (n más 1))) para (n igual a 1) hasta infinito)""","""(Productoria (e elevado a la i) para ((i igual a 1) hasta n))"""
